noise_model,rate,k,n,series,kind,rmse,ci_lo,ci_hi
depolarizing,0.05,2,2,single,measured,0.04544870217611803,0.043479343426985124,0.047179957727039784
depolarizing,0.05,2,3,single,measured,0.05884557514739278,0.05648492420579028,0.06101143738635752
depolarizing,0.05,2,4,single,measured,0.07634414679704021,0.07407851012106437,0.07854572680408707
depolarizing,0.05,2,5,single,measured,0.1123617790933345,0.10825953913393709,0.11651048424723301
depolarizing,0.05,2,6,single,measured,0.2679537998651688,0.2593062025536192,0.27659068324507413
depolarizing,0.05,2,7,single,measured,0.6421044659502259,0.6197564336516456,0.6638392630760334
depolarizing,0.05,2,8,single,measured,1.7713659653041738,1.7011844574530735,1.8400149040595108
depolarizing,0.05,2,9,single,measured,4.535350064920345,4.36076258442876,4.706271274195491
depolarizing,0.05,2,2,collective,measured,0.035170270352482,0.03416754061609092,0.036048361607175096
depolarizing,0.05,2,3,collective,measured,0.03938081967574242,0.03852263674341736,0.04020636739574466
depolarizing,0.05,2,4,collective,measured,0.041409854402867326,0.04028653425440543,0.042443474641488364
depolarizing,0.05,2,5,collective,measured,0.043176328149809144,0.042291194475113425,0.043962832013851795
depolarizing,0.05,2,6,collective,measured,0.04466238003179148,0.04367257770161316,0.04562611385590447
depolarizing,0.05,2,7,collective,measured,0.043229567329970256,0.042215348254452244,0.044127853298165674
depolarizing,0.05,2,8,collective,measured,0.04617734628997345,0.045198124566692435,0.04721181487942141
depolarizing,0.05,2,9,collective,measured,0.04392660892487605,0.042908530078526484,0.044923231195017364
depolarizing,0.05,2,2,single,theory,0.04535525944314041,,
depolarizing,0.05,2,2,collective,theory,0.035192397749727156,,
depolarizing,0.05,2,3,single,theory,0.05907949328537931,,
depolarizing,0.05,2,3,collective,theory,0.04023075389044744,,
depolarizing,0.05,2,4,single,theory,0.07669877711470142,,
depolarizing,0.05,2,4,collective,theory,0.0427447887791417,,
depolarizing,0.05,2,5,single,theory,0.12127515515246093,,
depolarizing,0.05,2,5,collective,theory,0.04400077768921658,,
depolarizing,0.05,2,6,single,theory,0.26057171630764014,,
depolarizing,0.05,2,6,collective,theory,0.04462854034382276,,
depolarizing,0.05,2,7,single,theory,0.6546532939841455,,
depolarizing,0.05,2,7,collective,theory,0.04494236655437912,,
depolarizing,0.05,2,8,single,theory,1.711385789968172,,
depolarizing,0.05,2,8,collective,theory,0.04509926621607723,,
depolarizing,0.05,2,9,single,theory,4.511270203042667,,
depolarizing,0.05,2,9,collective,theory,0.045177712726884894,,
depolarizing,0.1,2,2,single,measured,0.04544870217611803,0.043479343426985124,0.047179957727039784
depolarizing,0.1,2,3,single,measured,0.05884557514739278,0.05648492420579028,0.06101143738635752
depolarizing,0.1,2,4,single,measured,0.07634414679704021,0.07407851012106437,0.07854572680408707
depolarizing,0.1,2,5,single,measured,0.1123617790933345,0.10825953913393709,0.11651048424723301
depolarizing,0.1,2,6,single,measured,0.2679537998651688,0.2593062025536192,0.27659068324507413
depolarizing,0.1,2,7,single,measured,0.6421044659502259,0.6197564336516456,0.6638392630760334
depolarizing,0.1,2,8,single,measured,1.7713659653041738,1.7011844574530735,1.8400149040595108
depolarizing,0.1,2,9,single,measured,4.535350064920345,4.36076258442876,4.706271274195491
depolarizing,0.1,2,2,collective,measured,0.06352755307738538,0.06264743776216272,0.06445096488270702
depolarizing,0.1,2,3,collective,measured,0.07369537171695398,0.07254915072427975,0.07476709182639046
depolarizing,0.1,2,4,collective,measured,0.07761958180231764,0.07664789965023427,0.0786175423717211
depolarizing,0.1,2,5,collective,measured,0.08139485084937297,0.08035276519787568,0.08231849367565322
depolarizing,0.1,2,6,collective,measured,0.08165774690871859,0.08055894861397214,0.0828399119600934
depolarizing,0.1,2,7,collective,measured,0.08210734417088904,0.08107847665205452,0.0832484855221755
depolarizing,0.1,2,8,collective,measured,0.08379769841859576,0.0826225257583327,0.08497838090700749
depolarizing,0.1,2,9,collective,measured,0.08479053958328085,0.08357927694119345,0.08596381698702624
depolarizing,0.1,2,2,single,theory,0.04535525944314041,,
depolarizing,0.1,2,2,collective,theory,0.06368478576159306,,
depolarizing,0.1,2,3,single,theory,0.05907949328537931,,
depolarizing,0.1,2,3,collective,theory,0.0737650822501745,,
depolarizing,0.1,2,4,single,theory,0.07669877711470142,,
depolarizing,0.1,2,4,collective,theory,0.07880406812052126,,
depolarizing,0.1,2,5,single,theory,0.12127515515246093,,
depolarizing,0.1,2,5,collective,theory,0.0813233334863736,,
depolarizing,0.1,2,6,single,theory,0.26057171630764014,,
depolarizing,0.1,2,6,collective,theory,0.08258291535153617,,
depolarizing,0.1,2,7,single,theory,0.6546532939841455,,
depolarizing,0.1,2,7,collective,theory,0.08321269425275343,,
depolarizing,0.1,2,8,single,theory,1.711385789968172,,
depolarizing,0.1,2,8,collective,theory,0.08352758077489614,,
depolarizing,0.1,2,9,single,theory,4.511270203042667,,
depolarizing,0.1,2,9,collective,theory,0.08368502331349291,,
amplitude_damping,0.05,2,2,single,measured,0.04544870217611803,0.043479343426985124,0.047179957727039784
amplitude_damping,0.05,2,3,single,measured,0.05884557514739278,0.05648492420579028,0.06101143738635752
amplitude_damping,0.05,2,4,single,measured,0.07634414679704021,0.07407851012106437,0.07854572680408707
amplitude_damping,0.05,2,5,single,measured,0.1123617790933345,0.10825953913393709,0.11651048424723301
amplitude_damping,0.05,2,6,single,measured,0.2679537998651688,0.2593062025536192,0.27659068324507413
amplitude_damping,0.05,2,7,single,measured,0.6421044659502259,0.6197564336516456,0.6638392630760334
amplitude_damping,0.05,2,8,single,measured,1.7713659653041738,1.7011844574530735,1.8400149040595108
amplitude_damping,0.05,2,9,single,measured,4.535350064920345,4.36076258442876,4.706271274195491
amplitude_damping,0.05,2,2,collective,measured,0.06861687869370543,0.06473962750017749,0.07217442986351479
amplitude_damping,0.05,2,3,collective,measured,0.10526882749259962,0.10116379961855987,0.10935905352731358
amplitude_damping,0.05,2,4,collective,measured,0.14213296115199098,0.13895824724848832,0.14537861560376888
amplitude_damping,0.05,2,5,collective,measured,0.17501029731609133,0.17289824107829066,0.17686714748208124
amplitude_damping,0.05,2,6,collective,measured,0.2097164442268814,0.20771084363792777,0.21174129704649997
amplitude_damping,0.05,2,7,collective,measured,0.2389713543227489,0.2372560124121748,0.24059278747416457
amplitude_damping,0.05,2,8,collective,measured,0.2661753400784019,0.2645520111733184,0.26775746991148736
amplitude_damping,0.05,2,9,collective,measured,0.2939561551069902,0.2926321201324543,0.2952452073545517
amplitude_damping,0.05,2,2,single,theory,0.04535525944314041,,
amplitude_damping,0.05,2,2,collective,theory,0.06342370043747149,,
amplitude_damping,0.05,2,3,single,theory,0.05907949328537931,,
amplitude_damping,0.05,2,3,collective,theory,0.11659817073847424,,
amplitude_damping,0.05,2,4,single,theory,0.07669877711470142,,
amplitude_damping,0.05,2,4,collective,theory,0.13715813715530156,,
amplitude_damping,0.05,2,5,single,theory,0.12127515515246093,,
amplitude_damping,0.05,2,5,collective,theory,0.1759869805936864,,
amplitude_damping,0.05,2,6,single,theory,0.26057171630764014,,
amplitude_damping,0.05,2,6,collective,theory,0.21514624052005324,,
amplitude_damping,0.05,2,7,single,theory,0.6546532939841455,,
amplitude_damping,0.05,2,7,collective,theory,0.23735765135213224,,
amplitude_damping,0.05,2,8,single,theory,1.711385789968172,,
amplitude_damping,0.05,2,8,collective,theory,0.2667908767975289,,
amplitude_damping,0.05,2,9,single,theory,4.511270203042667,,
amplitude_damping,0.05,2,9,collective,theory,0.29548396477868305,,
amplitude_damping,0.1,2,2,single,measured,0.04544870217611803,0.043479343426985124,0.047179957727039784
amplitude_damping,0.1,2,3,single,measured,0.05884557514739278,0.05648492420579028,0.06101143738635752
amplitude_damping,0.1,2,4,single,measured,0.07634414679704021,0.07407851012106437,0.07854572680408707
amplitude_damping,0.1,2,5,single,measured,0.1123617790933345,0.10825953913393709,0.11651048424723301
amplitude_damping,0.1,2,6,single,measured,0.2679537998651688,0.2593062025536192,0.27659068324507413
amplitude_damping,0.1,2,7,single,measured,0.6421044659502259,0.6197564336516456,0.6638392630760334
amplitude_damping,0.1,2,8,single,measured,1.7713659653041738,1.7011844574530735,1.8400149040595108
amplitude_damping,0.1,2,9,single,measured,4.535350064920345,4.36076258442876,4.706271274195491
amplitude_damping,0.1,2,2,collective,measured,0.12247999411468544,0.11633830599462079,0.12877822101429467
amplitude_damping,0.1,2,3,collective,measured,0.18919380770786354,0.18209376899485463,0.19621705903493686
amplitude_damping,0.1,2,4,collective,measured,0.2585288154877518,0.25361817170662304,0.2633645289306753
amplitude_damping,0.1,2,5,collective,measured,0.3097750202179667,0.30703805739182016,0.312602211211687
amplitude_damping,0.1,2,6,collective,measured,0.364640675996447,0.36231550818833785,0.3670685186453371
amplitude_damping,0.1,2,7,collective,measured,0.4042493999903747,0.40252034156582117,0.4059748381612819
amplitude_damping,0.1,2,8,collective,measured,0.44628788808197045,0.44425679926943334,0.4483315206023984
amplitude_damping,0.1,2,9,collective,measured,0.48230437023638195,0.4807187634992911,0.48386313663958125
amplitude_damping,0.1,2,2,single,theory,0.04535525944314041,,
amplitude_damping,0.1,2,2,collective,theory,0.11551571806148674,,
amplitude_damping,0.1,2,3,single,theory,0.05907949328537931,,
amplitude_damping,0.1,2,3,collective,theory,0.21048760981706519,,
amplitude_damping,0.1,2,4,single,theory,0.07669877711470142,,
amplitude_damping,0.1,2,4,collective,theory,0.24646478281899353,,
amplitude_damping,0.1,2,5,single,theory,0.12127515515246093,,
amplitude_damping,0.1,2,5,collective,theory,0.30945236745821736,,
amplitude_damping,0.1,2,6,single,theory,0.26057171630764014,,
amplitude_damping,0.1,2,6,collective,theory,0.37032389692909345,,
amplitude_damping,0.1,2,7,single,theory,0.6546532939841455,,
amplitude_damping,0.1,2,7,collective,theory,0.40302736448820536,,
amplitude_damping,0.1,2,8,single,theory,1.711385789968172,,
amplitude_damping,0.1,2,8,collective,theory,0.4438685573668577,,
amplitude_damping,0.1,2,9,single,theory,4.511270203042667,,
amplitude_damping,0.1,2,9,collective,theory,0.4816740467371959,,
dephasing,0.05,2,2,single,measured,0.04544870217611803,0.043479343426985124,0.047179957727039784
dephasing,0.05,2,3,single,measured,0.05884557514739278,0.05648492420579028,0.06101143738635752
dephasing,0.05,2,4,single,measured,0.07634414679704021,0.07407851012106437,0.07854572680408707
dephasing,0.05,2,5,single,measured,0.1123617790933345,0.10825953913393709,0.11651048424723301
dephasing,0.05,2,6,single,measured,0.2679537998651688,0.2593062025536192,0.27659068324507413
dephasing,0.05,2,7,single,measured,0.6421044659502259,0.6197564336516456,0.6638392630760334
dephasing,0.05,2,8,single,measured,1.7713659653041738,1.7011844574530735,1.8400149040595108
dephasing,0.05,2,9,single,measured,4.535350064920345,4.36076258442876,4.706271274195491
dephasing,0.05,2,2,collective,measured,0.06748815482487784,0.06587176620774718,0.06916123221536469
dephasing,0.05,2,3,collective,measured,0.10218103317967919,0.10047197577452711,0.10384602684583515
dephasing,0.05,2,4,collective,measured,0.139394949058123,0.13801037475109937,0.14074941644291972
dephasing,0.05,2,5,collective,measured,0.17787238666386646,0.17664064841318539,0.17920235745998234
dephasing,0.05,2,6,collective,measured,0.20794935656508606,0.20658064594401782,0.20928613313074787
dephasing,0.05,2,7,collective,measured,0.23862426455027846,0.23703318718106497,0.2401775623931656
dephasing,0.05,2,8,collective,measured,0.26762978572922835,0.26611054530053735,0.2690508542128638
dephasing,0.05,2,9,collective,measured,0.29483783159405946,0.2930465336098075,0.2965863318795675
dephasing,0.05,2,2,single,theory,0.04535525944314041,,
dephasing,0.05,2,2,collective,theory,0.06272533771138353,,
