source,ensemble,k,noise_model,rate,budget,measured_n,predicted_n
noisy_pure(dev),noisy_pure,2,amplitude_damping,0.0,2000,2,2
noisy_pure(dev),noisy_pure,2,amplitude_damping,0.02,2000,2,2
noisy_pure(dev),noisy_pure,2,amplitude_damping,0.05,2000,6,6
noisy_pure(dev),noisy_pure,2,amplitude_damping,0.1,2000,7,7
noisy_pure(dev),noisy_pure,2,dephasing,0.0,2000,2,2
noisy_pure(dev),noisy_pure,2,dephasing,0.02,2000,2,2
noisy_pure(dev),noisy_pure,2,dephasing,0.05,2000,6,6
noisy_pure(dev),noisy_pure,2,dephasing,0.1,2000,7,7
noisy_pure(dev),noisy_pure,2,depolarizing,0.0,2000,2,2
noisy_pure(dev),noisy_pure,2,depolarizing,0.02,2000,2,2
noisy_pure(dev),noisy_pure,2,depolarizing,0.05,2000,2,2
noisy_pure(dev),noisy_pure,2,depolarizing,0.1,2000,5,5
noisy_pure(dev),noisy_pure,3,amplitude_damping,0.0,2000,2,2
noisy_pure(dev),noisy_pure,3,amplitude_damping,0.02,2000,2,2
noisy_pure(dev),noisy_pure,3,amplitude_damping,0.05,2000,8,7
noisy_pure(dev),noisy_pure,3,amplitude_damping,0.1,2000,8,8
noisy_pure(dev),noisy_pure,3,dephasing,0.0,2000,2,2
noisy_pure(dev),noisy_pure,3,dephasing,0.02,2000,2,2
noisy_pure(dev),noisy_pure,3,dephasing,0.05,2000,8,7
noisy_pure(dev),noisy_pure,3,dephasing,0.1,2000,8,8
noisy_pure(dev),noisy_pure,3,depolarizing,0.0,2000,2,2
noisy_pure(dev),noisy_pure,3,depolarizing,0.02,2000,2,2
noisy_pure(dev),noisy_pure,3,depolarizing,0.05,2000,2,2
noisy_pure(dev),noisy_pure,3,depolarizing,0.1,2000,4,4
noisy_pure(dev),noisy_pure,4,amplitude_damping,0.0,2000,2,2
noisy_pure(dev),noisy_pure,4,amplitude_damping,0.02,2000,2,2
noisy_pure(dev),noisy_pure,4,amplitude_damping,0.05,2000,8,8
noisy_pure(dev),noisy_pure,4,amplitude_damping,0.1,2000,8,8
noisy_pure(dev),noisy_pure,4,dephasing,0.0,2000,2,2
noisy_pure(dev),noisy_pure,4,dephasing,0.02,2000,2,2
noisy_pure(dev),noisy_pure,4,dephasing,0.05,2000,8,8
noisy_pure(dev),noisy_pure,4,dephasing,0.1,2000,8,8
noisy_pure(dev),noisy_pure,4,depolarizing,0.0,2000,2,2
noisy_pure(dev),noisy_pure,4,depolarizing,0.02,2000,2,2
noisy_pure(dev),noisy_pure,4,depolarizing,0.05,2000,2,2
noisy_pure(dev),noisy_pure,4,depolarizing,0.1,2000,3,2
noisy_pure(dev),noisy_pure,2,amplitude_damping,0.05,2000,6,6
noisy_pure(dev),noisy_pure,2,amplitude_damping,0.1,2000,7,7
noisy_pure(dev),noisy_pure,2,dephasing,0.05,2000,6,6
noisy_pure(dev),noisy_pure,2,dephasing,0.1,2000,7,7
noisy_pure(dev),noisy_pure,2,depolarizing,0.05,2000,2,2
noisy_pure(dev),noisy_pure,2,depolarizing,0.1,2000,5,5
noisy_pure(dev),noisy_pure,2,amplitude_damping,0.05,8000,8,8
noisy_pure(dev),noisy_pure,2,amplitude_damping,0.1,8000,9,9
noisy_pure(dev),noisy_pure,2,dephasing,0.05,8000,8,8
noisy_pure(dev),noisy_pure,2,dephasing,0.1,8000,9,9
noisy_pure(dev),noisy_pure,2,depolarizing,0.05,8000,5,5
noisy_pure(dev),noisy_pure,2,depolarizing,0.1,8000,7,7
noisy_pure(dev),noisy_pure,2,depolarizing,0.05,32000,7,7
noisy_pure(dev),noisy_pure,2,depolarizing,0.1,32000,8,8
noisy_pure(dev),noisy_pure,3,amplitude_damping,0.05,2000,8,7
noisy_pure(dev),noisy_pure,3,amplitude_damping,0.1,2000,8,8
noisy_pure(dev),noisy_pure,3,dephasing,0.05,2000,8,7
noisy_pure(dev),noisy_pure,3,dephasing,0.1,2000,8,8
noisy_pure(dev),noisy_pure,3,depolarizing,0.05,2000,2,2
noisy_pure(dev),noisy_pure,3,depolarizing,0.1,2000,4,4
noisy_pure(dev),noisy_pure,3,depolarizing,0.05,8000,4,4
noisy_pure(dev),noisy_pure,3,depolarizing,0.1,8000,8,7
noisy_pure(dev),noisy_pure,3,depolarizing,0.05,32000,8,8
noisy_pure(dev),noisy_pure,4,amplitude_damping,0.05,500,2,4
noisy_pure(dev),noisy_pure,4,amplitude_damping,0.1,500,6,6
noisy_pure(dev),noisy_pure,4,dephasing,0.05,500,2,2
noisy_pure(dev),noisy_pure,4,dephasing,0.1,500,6,6
noisy_pure(dev),noisy_pure,4,depolarizing,0.05,500,2,2
noisy_pure(dev),noisy_pure,4,depolarizing,0.1,500,2,2
noisy_pure(dev),noisy_pure,4,depolarizing,0.05,2000,2,2
noisy_pure(dev),noisy_pure,4,depolarizing,0.1,2000,3,2
noisy_pure(dev),noisy_pure,4,depolarizing,0.05,8000,3,2
stress,haar_pure,2,depolarizing,0.05,2000,2,2
stress,haar_pure,2,depolarizing,0.1,2000,5,5
stress,low_rank,2,depolarizing,0.05,2000,2,2
stress,low_rank,2,depolarizing,0.1,2000,4,4
stress,low_rank,2,depolarizing,0.3,2000,6,6
stress,low_rank,2,amplitude_damping,0.05,2000,6,6
stress,low_rank,2,amplitude_damping,0.1,2000,6,6
stress,low_rank,2,dephasing,0.05,2000,6,6
stress,low_rank,2,dephasing,0.1,2000,6,6
stress,ghz_noisy,2,depolarizing,0.05,2000,2,2
stress,ghz_noisy,2,depolarizing,0.1,2000,5,4
stress,ghz_noisy,2,depolarizing,0.3,2000,6,6
stress,ghz_noisy,2,amplitude_damping,0.05,2000,6,6
stress,ghz_noisy,2,dephasing,0.05,2000,6,6
stress,ghz_noisy,2,dephasing,0.1,2000,6,6
