k,n,kind,alpha_or_value,alpha_se
2,2,measured,0.49498597318254595,0.012636971056867117
2,2,theory,0.501418331841422,
2,3,measured,0.5213621099827146,0.010039759741978712
2,3,theory,0.506218413220941,
2,4,measured,0.5276252755003865,0.01225781574107
2,4,theory,0.5274924768636234,
2,5,measured,0.6051688173894698,0.012087673297647605
2,5,theory,0.6051140646622555,
2,6,measured,0.7660289288458033,0.012151377185466309
2,6,theory,0.7474803106269143,
2,7,measured,0.946923701306726,0.014824689192584447
2,7,theory,0.9501252505787693,
2,8,measured,0.9842451305829221,0.017455744946508468
2,8,theory,0.9899482914965889,
2,9,measured,1.0063925371835016,0.022508358408447726
2,9,theory,0.9983163167639771,
3,2,measured,0.5001437804988612,0.015473881126699762
3,2,theory,0.5013838045076506,
3,3,measured,0.49604909106326134,0.018597407502646532
3,3,theory,0.5026395544249076,
3,4,measured,0.5159917065374857,0.016926422107410754
3,4,theory,0.5066478018323883,
3,5,measured,0.5472591545091423,0.013643043766638644
3,5,theory,0.5179534562837611,
3,6,measured,0.6071064082425727,0.016517017124958643
3,6,theory,0.5750366568576483,
3,7,measured,0.8256828999009062,0.021865065020485103
3,7,theory,0.8101648536683711,
3,8,measured,1.1583533206651058,0.02040476629661019
3,8,theory,1.182989513102994,
4,2,measured,0.4864405556399389,0.017854109659559178
4,2,theory,0.506671624413702,
4,3,measured,0.5235290264067572,0.018957494552235745
4,3,theory,0.5124150645315998,
4,4,measured,0.543753389793959,0.02430164224237595
4,4,theory,0.5285331306415134,
4,5,measured,0.5707414264460302,0.02117971446729087
4,5,theory,0.5728522594818134,
4,6,measured,0.8018369200306279,0.01694594863783382
4,6,theory,0.7925852445252379,
