ensemble,n,k,budget,measured_rmse,ci_lo,ci_hi,predicted_rmse,rel_err
haar_pure,3,2,2000,0.06978361193974192,0.06499228845843491,0.07452355266490801,0.06463060439219116,0.07384266025095367
haar_pure,3,2,8000,0.0319662728577822,0.03036057855563834,0.03352542036006248,0.03177751472739885,0.005904915196811906
haar_pure,3,3,2000,0.09026326885357655,0.08492395351204811,0.0950076719725249,0.09567433743381779,0.05994762486409586
haar_pure,3,3,8000,0.045475421561665,0.04272342439519595,0.04816929622602376,0.04758154992476834,0.04631355336085038
haar_pure,4,2,2000,0.0855575161480116,0.08142133815707628,0.08922675050879882,0.08312131998556417,0.028474367561499743
haar_pure,4,2,8000,0.03494280457436685,0.03290333408723735,0.036846999885763995,0.038571801934966905,0.10385535462320042
haar_pure,4,3,2000,0.12102396010014072,0.11441716691759003,0.1272929146414389,0.11426190735345483,0.05587366948735321
haar_pure,4,3,8000,0.05554959283483283,0.05179519824039883,0.05896294897013113,0.05644953420409253,0.016200683449391278
haar_pure,5,2,2000,0.11371244675334792,0.10679370213305756,0.12011038786679488,0.12733841464223566,0.11982828861684457
haar_pure,5,2,8000,0.05281529398873284,0.04981109390320681,0.05552859300234365,0.04895605446732553,0.07307049208569404
haar_pure,5,3,2000,0.13245286454821464,0.12477407719538294,0.13956473282491852,0.13433899266091948,0.014239994877711807
haar_pure,5,3,8000,0.05833520190933996,0.0557942656137036,0.061022409782026214,0.06495173513445184,0.11342265062174253
low_rank,3,2,2000,0.042809558814916666,0.04046686842621775,0.044995149425158885,0.045464081470409874,0.06200770876826368
low_rank,3,2,8000,0.02261629073110643,0.021203327278861872,0.023898621164661973,0.02199116799450093,0.027640374101917064
low_rank,3,3,2000,0.04336781024015156,0.0397817301884312,0.04680301571382647,0.044892392128596505,0.03515468915775303
low_rank,3,3,8000,0.02209632459352604,0.020376255330395856,0.02381340341731638,0.022142133073738204,0.0020731266875751993
low_rank,4,2,2000,0.061433863398919784,0.05717401598897719,0.06567933351803978,0.06398546235379003,0.041534079312275735
low_rank,4,2,8000,0.02809188986824394,0.02671755417011447,0.02947141536906348,0.02809683114210739,0.0001758968117355618
low_rank,4,3,2000,0.04862934751193524,0.04545665195206516,0.05140274984571156,0.05576941591338881,0.14682632539334736
low_rank,4,3,8000,0.024491703807942314,0.023107596456341785,0.025731174592733046,0.02707372641557463,0.10542437667382709
low_rank,5,2,2000,0.10564545979252934,0.09991110764794592,0.11155465964474758,0.10909057154156368,0.032610125941994854
low_rank,5,2,8000,0.03994665259494274,0.03722549405106112,0.04241986152095033,0.036795127679818275,0.07889334175458419
low_rank,5,3,2000,0.05798543202039557,0.05464620097503919,0.06106722870756413,0.0538288788801364,0.07168271400991137
low_rank,5,3,8000,0.027840462001805035,0.025607513954933967,0.030084175273877953,0.023544127345824856,0.15431980459597353
ghz_noisy,3,2,2000,0.0645435761953389,0.053096885545634735,0.07519971769921972,0.05260691478136811,0.1849395728839831
ghz_noisy,3,2,8000,0.025588133908184627,0.02270466766327295,0.02821667648818977,0.025682278944018633,0.0036792458634075298
ghz_noisy,3,3,2000,0.05896309163543172,0.053158067559891324,0.06438780568000932,0.0683219003143857,0.15872316765239197
ghz_noisy,3,3,8000,0.03277602890942649,0.029706026572568045,0.03576565466950665,0.03395351334027209,0.035925170620866566
ghz_noisy,4,2,2000,0.06916546349887498,0.06092807309324661,0.07693439350187142,0.07507727089519312,0.08547340099028318
ghz_noisy,4,2,8000,0.030727445439520468,0.027934065721358092,0.03322775243280417,0.03426762399766022,0.11521226406886763
ghz_noisy,4,3,2000,0.07128846009601532,0.06171521133272721,0.0794211076242727,0.08820612794027144,0.23731285290032147
ghz_noisy,4,3,8000,0.045060655839057724,0.04042639678764603,0.04930814588177736,0.04347561699064589,0.03517567196698342
ghz_noisy,5,2,2000,0.13291901614080254,0.1216255252529875,0.14427128959992994,0.12519639840915728,0.058100172239197195
ghz_noisy,5,2,8000,0.04298317764572066,0.03867139916365707,0.04696315550559982,0.04767386559538892,0.10912845923887289
ghz_noisy,5,3,2000,0.08625320355738297,0.07591679203258156,0.09469557236596338,0.11248233792059363,0.3040946107672488
ghz_noisy,5,3,8000,0.05001680217020441,0.04349257987838914,0.055490151769491285,0.05388378194188721,0.07731361470338871
