n,pilot_budget,m_star_rel_error_pct,m_star_exact,source
2,500,22.60213468272684,26.02585743600187,pass47
2,2000,10.284627120561044,26.02585743600187,pass47
2,8000,5.549716676903939,26.02585743600187,pass47
2,32000,2.985407110769747,26.02585743600187,pass47
2,128000,1.5626370852931102,26.02585743600187,pass47
3,500,34.2049407989795,110.21962113097938,pass47
3,2000,17.681632347735523,110.21962113097938,pass47
3,8000,6.480860253803186,110.21962113097938,pass47
3,32000,3.2849820840763417,110.21962113097938,pass47
3,128000,1.9427922682742662,110.21962113097938,pass47
4,500,52.5629449322934,540.7220108718673,pass47
4,2000,24.37411188127605,540.7220108718673,pass47
4,8000,8.827515891532856,540.7220108718673,pass47
4,32000,4.2413234457881,540.7220108718673,pass47
4,128000,2.235348315626821,540.7220108718673,pass47
5,500,81.20960116768143,2884.1716757145305,pass47
5,2000,46.18829664462745,2884.1716757145305,pass47
5,8000,14.834471367972357,2884.1716757145305,pass47
5,32000,5.7520349079621305,2884.1716757145305,pass47
5,128000,2.848887715564262,2884.1716757145305,pass47
6,500,94.08619234331314,16519.247660913665,pass48 (gate replay)
6,2000,69.67557927434262,16519.247660913665,pass48 (gate replay)
6,8000,37.7361097300745,16519.247660913665,pass48 (gate replay)
6,32000,8.959453223498251,16519.247660913665,pass48 (gate replay)
6,128000,4.56512163038742,16519.247660913665,pass48 (gate replay)
7,8000,66.3385515336836,91741.1024336853,pass48
7,32000,30.677322366484734,91741.1024336853,pass48
7,64000,16.933621721113,91741.1024336853,pass48
7,128000,8.386365857705536,91741.1024336853,pass48
7,256000,5.2804167665292505,91741.1024336853,pass48
8,32000,61.898723387648914,520955.03156205255,pass48
8,64000,45.54407998351614,520955.03156205255,pass48
8,128000,22.49426891806929,520955.03156205255,pass48
8,256000,8.381598277316101,520955.03156205255,pass48
8,512000,7.337020686849503,520955.03156205255,pass48
